Tilemap	    PatternSize	    NumberOfPatterns	EnableRotation  	EnableReflection	NumberOfTests   	OutputSize  	AverageTrainingTime 	AverageGenerationTime
Rooms	    3	            94	                False	            False	            1	                (5, 5, 5)	    0.02	                1.573	
Rooms	    3	            168	                False	            True	            1	                (5, 5, 5)	    0.018	                4.777	
Rooms	    3	            357	                True	            False	            1	                (5, 5, 5)	    0.092	                23.887	
Rooms	    3	            645	                True	            True	            1	                (5, 5, 5)	    0.234	                74.779	

Rooms	    3	            94	                False	            False	            1	                (10, 10, 10)	0.011	                51.448	
Rooms	    3	            168	                False	            True	            1	                (10, 10, 10)	0.024	                165.469	
Rooms	    3	            357	                True	            False	            1	                (10, 10, 10)	0.095	                550.258	
Rooms	    3	            645	                True	            True	            1	                (10, 10, 10)	0.263	                1726.718	

Rooms	    3	            94	                False	            False	            1	                (11, 11, 11)	0.014	                84.681	
Rooms	    3	            168	                False	            True	            1	                (11, 11, 11)	0.017	                273.667	
Rooms	    3	            357	                True	            False	            1	                (11, 11, 11)	0.099	                898.612	
Rooms	    3	            645	                True	            True	            1	                (11, 11, 11)	0.265	                2778.003	

Rooms	    3	            94	                False	            False	            1	                (12, 12, 12)	0.011	                135.085	
Rooms	    3	            168	                False	            True	            1	                (12, 12, 12)	0.031	                436.051	
Rooms	    3	            357	                True	            False	            1	                (12, 12, 12)	0.068	                1259.95	
Rooms	    3	            645	                True	            True	            1	                (12, 12, 12)	0.261	                4261.936	

Rooms	    3	            94	                False	            False	            1	                (13, 13, 13)	0.027	                222.131	
Rooms	    3	            168	                False	            True	            1	                (13, 13, 13)	0.037	                649.033	
Rooms	    3	            357	                True	            False	            1	                (13, 13, 13)	0.07	                2239.124	
Rooms	    3	            645	                True	            True	            1	                (13, 13, 13)	0.295	                4998.803	

Rooms	    3	            94	                False	            False	            1	                (14, 14, 14)	0.023	                254.088	
Rooms	    3	            168	                False	            True	            1	                (14, 14, 14)	0.027	                677.391	
Rooms	    3	            357	                True	            False	            1	                (14, 14, 14)	0.06	                2590.305	
Rooms	    3	            645	                True	            True	            1	                (14, 14, 14)	0.212	                7505.087	

Rooms	    3	            94	                False	            False	            1	                (15, 15, 15)	0.011	                357.397	
Rooms	    3	            168	                False	            True	            1	                (15, 15, 15)	0.017	                1024.822	
Rooms	    3	            357	                True	            False	            1	                (15, 15, 15)	0.063	                11316.26	
Rooms	    3	            645	                True	            True	            1	                (15, 15, 15)	0.23	                10574.52	
