Tilemap	PatternSize	NumberOfPatterns	EnableRotation	EnableReflection	NumberOfTests	OutputSize	AverageTrainingTime	AverageGenerationTime
ElevationMap	3	35	False	False	1	(5, 5, 5)	0.039	0.224	
ElevationMap	3	63	False	True	1	(5, 5, 5)	0.022	0.868	
ElevationMap	3	137	True	False	1	(5, 5, 5)	0.031	6.574	
ElevationMap	3	249	True	True	1	(5, 5, 5)	0.044	20.804	
ElevationMap	3	35	False	False	1	(10, 10, 10)	0.022	2.945	
ElevationMap	3	63	False	True	1	(10, 10, 10)	0.02	12.257	
ElevationMap	3	137	True	False	1	(10, 10, 10)	0.024	86.444	
ElevationMap	3	249	True	True	1	(10, 10, 10)	0.035	213.088	
ElevationMap	3	35	False	False	1	(11, 11, 11)	0.027	3.547	
ElevationMap	3	63	False	True	1	(11, 11, 11)	0.028	9.638	
ElevationMap	3	137	True	False	1	(11, 11, 11)	0.031	88.121	
ElevationMap	3	249	True	True	1	(11, 11, 11)	0.043	244.705	
ElevationMap	3	35	False	False	1	(12, 12, 12)	0.022	4.053	
ElevationMap	3	63	False	True	1	(12, 12, 12)	0.021	13.093	
ElevationMap	3	137	True	False	1	(12, 12, 12)	0.032	170.396	
ElevationMap	3	249	True	True	1	(12, 12, 12)	0.044	321.913	
ElevationMap	3	35	False	False	1	(13, 13, 13)	0.021	7.626	
ElevationMap	3	63	False	True	1	(13, 13, 13)	0.02	20.256	
ElevationMap	3	137	True	False	1	(13, 13, 13)	0.047	216.947	
ElevationMap	3	249	True	True	1	(13, 13, 13)	0.044	400.311	
ElevationMap	3	35	False	False	1	(14, 14, 14)	0.02	9.074	
ElevationMap	3	63	False	True	1	(14, 14, 14)	0.03	23.592	
ElevationMap	3	137	True	False	1	(14, 14, 14)	0.032	232.792	
ElevationMap	3	249	True	True	1	(14, 14, 14)	0.035	546.088	
ElevationMap	3	35	False	False	1	(15, 15, 15)	0.019	10.29	
ElevationMap	3	63	False	True	1	(15, 15, 15)	0.02	69.571	
ElevationMap	3	137	True	False	1	(15, 15, 15)	0.024	259.391	
ElevationMap	3	249	True	True	1	(15, 15, 15)	0.052	602.956	
