Tilemap	PatternSize	NumberOfPatterns	EnableRotation	EnableReflection	NumberOfTests	OutputSize	AverageTrainingTime	AverageGenerationTime
Rooms	2	48	False	False	5	(5, 5, 5)	0	0.022	
Rooms	2	88	False	True	5	(5, 5, 5)	0.001	0.033	
Rooms	2	86	True	False	5	(5, 5, 5)	0.001	0.03	
Rooms	2	162	True	True	5	(5, 5, 5)	0.008	0.078	

Rooms	2	48	False	False	5	(10, 10, 10)	0	0.154	
Rooms	2	88	False	True	5	(10, 10, 10)	0.003	0.323	
Rooms	2	86	True	False	5	(10, 10, 10)	0.002	0.319	
Rooms	2	162	True	True	5	(10, 10, 10)	0.009	0.743	

Rooms	2	48	False	False	5	(11, 11, 11)	0.001	0.214	
Rooms	2	88	False	True	5	(11, 11, 11)	0.001	0.455	
Rooms	2	86	True	False	5	(11, 11, 11)	0.002	0.426	
Rooms	2	162	True	True	5	(11, 11, 11)	0.005	1.034	

Rooms	2	48	False	False	5	(12, 12, 12)	0	0.286	
Rooms	2	88	False	True	5	(12, 12, 12)	0.001	0.608	
Rooms	2	86	True	False	5	(12, 12, 12)	0.002	0.571	
Rooms	2	162	True	True	5	(12, 12, 12)	0.01	1.404	

Rooms	2	48	False	False	5	(13, 13, 13)	0	0.375	
Rooms	2	88	False	True	5	(13, 13, 13)	0.002	0.784	
Rooms	2	86	True	False	5	(13, 13, 13)	0.002	0.747	
Rooms	2	162	True	True	5	(13, 13, 13)	0.006	1.846	

Rooms	2	48	False	False	5	(14, 14, 14)	0	0.476	
Rooms	2	88	False	True	5	(14, 14, 14)	0.001	1.003	
Rooms	2	86	True	False	5	(14, 14, 14)	0.001	0.958	
Rooms	2	162	True	True	5	(14, 14, 14)	0.008	2.332	

Rooms	2	48	False	False	5	(15, 15, 15)	0.001	0.595	
Rooms	2	88	False	True	5	(15, 15, 15)	0.002	1.251	
Rooms	2	86	True	False	5	(15, 15, 15)	0.002	1.186	
Rooms	2	162	True	True	5	(15, 15, 15)	0.005	2.868	

Rooms	2	48	False	False	5	(20, 20, 20)	0	1.591	
Rooms	2	88	False	True	5	(20, 20, 20)	0.001	3.165	
Rooms	2	86	True	False	5	(20, 20, 20)	0.001	3.036	
Rooms	2	162	True	True	5	(20, 20, 20)	0.011	7.117	

Rooms	2	48	False	False	5	(25, 25, 25)	0	3.866	
Rooms	2	88	False	True	5	(25, 25, 25)	0.001	7.799	
Rooms	2	86	True	False	5	(25, 25, 25)	0.003	7.389	
Rooms	2	162	True	True	5	(25, 25, 25)	0.01	16.59	
