Tilemap	PatternSize	NumberOfPatterns	EnableRotation	EnableReflection	NumberOfTests	OutputSize	AverageTrainingTime	AverageGenerationTime
Rooms	2	54	False	False	1	(5, 5, 5)	0.004	0.053	
Rooms	2	86	False	True	1	(5, 5, 5)	0.006	0.106	
Rooms	2	155	True	False	1	(5, 5, 5)	0.011	0.225	
Rooms	2	255	True	True	1	(5, 5, 5)	0.057	0.461	
Rooms	2	54	False	False	1	(10, 10, 10)	0.004	0.525	
Rooms	2	86	False	True	1	(10, 10, 10)	0.006	0.924	
Rooms	2	155	True	False	1	(10, 10, 10)	0.038	2.09	
Rooms	2	255	True	True	1	(10, 10, 10)	0.036	4.458	
Rooms	2	54	False	False	1	(11, 11, 11)	0.004	0.791	
Rooms	2	86	False	True	1	(11, 11, 11)	0.006	1.366	
Rooms	2	155	True	False	1	(11, 11, 11)	0.011	3.027	
Rooms	2	255	True	True	1	(11, 11, 11)	0.04	5.974	
Rooms	2	54	False	False	1	(12, 12, 12)	0.004	1.001	
Rooms	2	86	False	True	1	(12, 12, 12)	0.006	1.709	
Rooms	2	155	True	False	1	(12, 12, 12)	0.02	3.817	
Rooms	2	255	True	True	1	(12, 12, 12)	0.035	7.454	
Rooms	2	54	False	False	1	(13, 13, 13)	0.005	1.209	
Rooms	2	86	False	True	1	(13, 13, 13)	0.006	2.104	
Rooms	2	155	True	False	1	(13, 13, 13)	0.012	4.428	
Rooms	2	255	True	True	1	(13, 13, 13)	0.035	9.123	
Rooms	2	54	False	False	1	(14, 14, 14)	0.004	1.512	
Rooms	2	86	False	True	1	(14, 14, 14)	0.006	2.65	
Rooms	2	155	True	False	1	(14, 14, 14)	0.022	5.555	
Rooms	2	255	True	True	1	(14, 14, 14)	0.034	11.576	
Rooms	2	54	False	False	1	(15, 15, 15)	0.004	1.92	
Rooms	2	86	False	True	1	(15, 15, 15)	0.006	3.302	
Rooms	2	155	True	False	1	(15, 15, 15)	0.014	6.921	
Rooms	2	255	True	True	1	(15, 15, 15)	0.035	14.237	
Rooms	3	94	False	False	1	(5, 5, 5)	0.011	0.103	
Rooms	3	168	False	True	1	(5, 5, 5)	0.018	0.216	
Rooms	3	357	True	False	1	(5, 5, 5)	0.057	0.785	
Rooms	3	645	True	True	1	(5, 5, 5)	0.207	2.211	
Rooms	3	94	False	False	1	(10, 10, 10)	0.02	0.742	
Rooms	3	168	False	True	1	(10, 10, 10)	0.03	2.292	
Rooms	3	357	True	False	1	(10, 10, 10)	0.098	6.93	
Rooms	3	645	True	True	1	(10, 10, 10)	0.264	18.262	
Rooms	3	94	False	False	1	(11, 11, 11)	0.011	1.551	
Rooms	3	168	False	True	1	(11, 11, 11)	0.017	3.116	
Rooms	3	357	True	False	1	(11, 11, 11)	0.094	9.432	
Rooms	3	645	True	True	1	(11, 11, 11)	0.228	24.188	
Rooms	3	94	False	False	1	(12, 12, 12)	0.023	1.98	
Rooms	3	168	False	True	1	(12, 12, 12)	0.028	4.194	
Rooms	3	357	True	False	1	(12, 12, 12)	0.09	12.36	
Rooms	3	645	True	True	1	(12, 12, 12)	0.242	31.687	
Rooms	3	94	False	False	1	(13, 13, 13)	0.011	2.623	
Rooms	3	168	False	True	1	(13, 13, 13)	0.018	5.359	
Rooms	3	357	True	False	1	(13, 13, 13)	0.062	16.102	
Rooms	3	645	True	True	1	(13, 13, 13)	0.21	40.348	
Rooms	3	94	False	False	1	(14, 14, 14)	0.012	3.441	
Rooms	3	168	False	True	1	(14, 14, 14)	0.047	6.904	
Rooms	3	357	True	False	1	(14, 14, 14)	0.083	20.133	
Rooms	3	645	True	True	1	(14, 14, 14)	0.269	43.786	
Rooms	3	94	False	False	1	(15, 15, 15)	0.013	4.253	
Rooms	3	168	False	True	1	(15, 15, 15)	0.019	8.764	
Rooms	3	357	True	False	1	(15, 15, 15)	0.058	25.227	
Rooms	3	645	True	True	1	(15, 15, 15)	0.242	66.418	
